date,crack_cl_rb,crack_cl_rb_ratio,rb_vs_ho,rb_vs_ho_ratio,rb_close,rb_ret_1d,rb_ret_3d,rb_ret_5d,rb_vol_10d,rb_vol_20d,rb_volume,rb_volume_z_20,month,is_summer,dayofweek,rb_ewm_ret_5,crack_x_vol,instrument,signal,label
1990-01-02,22.2331,34.8454863753996,-0.11699999999999999,0.8488176767024164,0.6569,,,,,,13854.0,,1,0,1,,,rb1s,,
1990-01-03,23.0077,35.222370965342854,-0.10970000000000002,0.8597186700767263,0.6723,0.023443446491094422,,,,,12399.0,,1,0,2,0.023443446491094422,,rb1s,,
1990-01-04,22.7571,35.85541430540665,-0.07899999999999996,0.8920617570706382,0.6529,-0.028856165402350142,,,,,12314.0,,1,0,3,-0.007936320644972315,,rb1s,,
1990-01-05,22.4578,37.09418193506911,-0.05610000000000004,0.9172932330827067,0.6222,-0.047020983305253616,-0.05282386969097286,,,,10698.0,,1,0,4,-0.02645010822089503,,rb1s,,
1990-01-08,21.0352,36.96990424076608,-0.058499999999999996,0.9090626457329395,0.5848,-0.060109289617486295,-0.13015023055183705,,,,8661.0,,1,0,0,-0.040431614339479095,,rb1s,,
1990-01-09,21.4612,36.25164257555848,-0.04169999999999996,0.9358954650269025,0.6088,0.04103967168262668,-0.06754480012253028,-0.07322271274166547,,,8060.0,,1,0,1,-0.009155907383125697,,rb1s,,
1990-01-10,22.2567,35.597699362661274,-0.025499999999999967,0.961872009569378,0.6433,0.05666885676741118,0.03391192542590815,-0.043135504982894535,,,10524.0,,1,0,2,0.01489735229895018,,rb1s,,
1990-01-11,22.485,35.32824427480916,-0.03820000000000001,0.9448932487016733,0.655,0.018187470853412213,0.12004103967168267,0.003216419053453823,,,7131.0,,1,0,3,0.0160622364301803,,rb1s,,
1990-01-12,22.4791,35.53541250576125,-0.045599999999999974,0.934529791816224,0.6509,-0.006259541984732775,0.06915243101182655,0.04612664738026373,,,6829.0,,1,0,4,0.008319535495459463,,rb1s,,
1990-01-15,21.7241,35.16276144047806,-0.010099999999999998,0.9843653250773994,0.6359,-0.02304501459517594,-0.011503186693611056,0.08738030095759242,,,6084.0,,1,0,0,-0.002414532270679958,,rb1s,,
1990-01-16,22.137,35.42768273716952,0.0027000000000000357,1.0042167733874747,0.643,0.011165277559364695,-0.018320610687022953,0.05617608409986863,0.038160226113785535,,6496.0,,1,0,1,0.002191954534744753,0.8447529254808704,rb1s,,
1990-01-17,21.67308946,36.28669726473461,0.009000000000000008,1.0148711169861202,0.6142,-0.04479004665629871,-0.05638346904286384,-0.04523550443028135,0.039292371409966644,,8186.0,,1,0,2,-0.013651883455934377,0.8515870806637534,rb1s,,
1990-01-18,22.026135160000003,37.280901268324826,-0.011299999999999977,0.9817270375161709,0.6071,-0.011559752523607969,-0.04529013995911313,-0.0731297709923665,0.03866269504238643,,7959.0,,1,0,3,-0.012949089804209555,0.8515897466534655,rb1s,,
1990-01-19,22.530712100000002,37.56395991561182,-0.020400000000000085,0.9679547596606973,0.6162,0.01498929336188426,-0.04167962674961123,-0.053310800430173666,0.036358583184555364,,4656.0,,1,0,4,-0.0035881969850337994,0.8191847700951181,rb1s,,
1990-01-22,22.21553281,37.63511347295514,-0.0034999999999999476,0.9942613543203804,0.6064,-0.015903927296332276,-0.01269944643438603,-0.046390941972008104,0.03050454156809571,,3434.0,,1,0,0,-0.007707551218116881,0.6776746440600391,rb1s,,
1990-01-23,22.04751836,37.98007104998323,0.0033999999999999586,1.0057354925775979,0.5962,-0.016820580474934177,-0.017954208532367066,-0.07278382581648535,0.028101440638122206,,4775.0,,1,0,1,-0.010752180529934137,0.6195670284114495,rb1s,,
1990-01-24,22.03998762,38.15141847870115,-0.0025647599999999438,0.9956953557353551,0.59324754,-0.004952130157665158,-0.03724839337877306,-0.0341134158254639,0.01922562562932787,,9230.27037907,,1,0,2,-0.008815882510533255,0.423732550857141,rb1s,,
1990-01-25,22.70830657,38.451639615198665,0.007096690000000017,1.0118428157902453,0.60633678,0.022063707166826152,-0.00010425461741425668,-0.0012571569757864332,0.01983929505190587,,8067.84971486,,1,0,3,0.0014877718376379928,0.45051679417136253,rb1s,,
1990-01-26,23.034222779999997,38.40031878779065,0.015915860000000004,1.0265278835242992,0.61588306,0.01574418757839502,0.033014189869171595,-0.0005143459915610826,0.0211691909118243,,7535.41227776,,1,0,4,0.006243128079687039,0.4876158595353122,rb1s,,
1990-01-29,23.28129255,38.525646218855506,0.005277599999999993,1.0085796139846732,0.62041017,0.007350599966168714,0.04578633398125853,0.023103842348284775,0.020511885801852578,,9105.28983563,0.29882269495669006,1,0,0,0.006612451974600866,0.4775432141051212,rb1s,,
1990-01-30,22.92830819,38.16302347344697,0.012635790000000036,1.020908763995503,0.61696563,-0.00555203664698134,0.017529614482565403,0.03482997316336811,0.019969172484184373,0.029669321137302442,9538.14927877,0.6105403732273351,1,0,1,0.0025564026638000576,0.4578593410166472,rb1s,,
1990-01-31,23.15972597,38.58607791630965,0.01828856000000001,1.0305885156920653,0.61617831,-0.0012761164669741198,0.0004793929548898568,0.038652954211997326,0.013897247728561938,0.0290304397592203,10652.81314995,1.1841363987559472,1,0,2,0.0012786401136624834,0.32185644913069944,rb1s,,
1990-02-01,23.17980664,38.564668756833264,0.027691840000000023,1.0469853168000576,0.61706405,0.001437473513145937,-0.005393399660099107,0.017691933515891822,0.013246101911826652,0.028446803986693685,9446.70010064,0.7831278003437959,2,0,3,0.0013315916575111087,0.3070420810498761,rb1s,,
1990-02-02,23.50031,38.182671053299025,0.026862359999999974,1.0443887956923583,0.63202318,0.024242426697844488,0.024405816576848816,0.026206468481208,0.014537222940930556,0.026993797478841848,8275.13451862,0.28192383749493505,2,0,4,0.008969217219962862,0.34162924565097974,rb1s,,
1990-02-05,22.8577798,38.220889773469345,0.032945300000000066,1.0566882501048023,0.61411159,-0.028340083982362763,-0.003354094044628053,-0.010152283609406232,0.016674115267776606,0.023965263087106167,10258.56558202,1.2245913560858872,2,0,0,-0.003467955321894909,0.3811332551506557,rb1s,,
1990-02-06,22.988695840000002,38.74864155884363,0.02533476000000001,1.043406766650465,0.60899399,-0.008333338896926001,-0.013078156149268438,-0.01292071974900788,0.01583931172759423,0.022294897376478356,8684.62361624,0.41920146032672706,2,0,1,-0.005089814075963318,0.36412511962060873,rb1s,,
1990-02-07,22.796207220000003,38.84848245916603,0.02175870000000002,1.0374799078207895,0.60230175,-0.010989008282331403,-0.04702585433654516,-0.022520364275724125,0.01625344822153479,0.01800387130027758,7688.84367662,-0.006740083975212794,2,0,2,-0.007056264061822099,0.3705169736976476,rb1s,,
1990-02-08,22.555388809999997,38.4670187282031,0.02738417999999998,1.0476559629636384,0.6020065,-0.0004902027928691544,-0.019711547863801138,-0.024401923916974266,0.014582629929976911,0.017310876719098492,5234.95739685,-1.1976741361551653,2,0,3,-0.004867538448530235,0.32891688794297225,rb1s,,
