date,instrument,signal,entry_price,atr14,label
2020-01-07,cl1s,-1,25.41161824,0.47129317000000015,1
2020-01-22,cl1s,-1,22.98425454,0.7517011692857142,1
2020-01-23,cl1s,-1,22.51841223,0.7809105064285712,1
2020-01-24,cl1s,-1,21.95129986,0.7559828799999997,1
2020-01-27,cl1s,-1,21.52596557,0.7553731878571425,1
2020-01-28,cl1s,-1,21.66369286,0.7617214428571424,1
2020-01-29,cl1s,-1,21.60293082,0.6186890814285709,1
2020-01-30,cl1s,-1,21.1208853,0.6192431707142855,1
2020-01-31,cl1s,-1,20.88593874,0.6614733928571425,-1
2020-02-05,cl1s,1,20.55782373,0.7618402499999998,1
2020-02-06,cl1s,1,20.63883978,0.7815155778571425,1
2020-02-07,cl1s,1,20.38363921,0.8017695907142853,1
2020-02-10,cl1s,1,20.07982901,0.7731246285714278,1
2020-02-11,cl1s,1,20.22970871,0.7375354328571423,1
2020-02-12,cl1s,1,20.72795744,0.7323272578571424,1
2020-02-13,cl1s,1,20.82922751,0.7109158721428565,1
2020-02-14,cl1s,1,21.09533843,0.6803990849999995,-1
2020-02-18,cl1s,1,21.08324248,0.683669569285714,-1
2020-02-19,cl1s,1,21.56708051,0.6877798535714282,-1
2020-02-20,cl1s,1,21.72432788,0.6745954221428566,-1
2020-02-21,cl1s,1,21.52272869,0.6437462778571424,-1
2020-02-24,cl1s,1,20.73649188,0.665342493571428,-1
2020-02-25,cl1s,1,20.11959838,0.6676333785714282,-1
2020-02-26,cl1s,1,19.6478563,0.659533453571428,-1
2020-02-27,cl1s,1,18.98661098,0.6863418771428567,-1
2020-02-28,cl1s,1,18.04715879,0.7394348149999994,1
2020-03-18,cl1s,1,8.31173964,1.8590334507142858,1
2020-03-23,cl1s,1,9.32127882,2.059941435714286,-1
2020-03-24,cl1s,1,9.5806466,2.068252685,-1
2020-03-26,cl1s,1,9.01801804,1.990562517142857,-1
2020-03-27,cl1s,1,8.58307823,1.6620571464285712,1
2020-03-30,cl1s,1,8.0164594,1.5870860857142859,1
2020-04-21,cl1s,1,3.5228399,1.609477722142857,1
2020-04-22,cl1s,1,4.1957419,1.6912012721428569,1
2020-04-23,cl1s,1,5.02392899,1.5961931185714282,1
2020-04-24,cl1s,1,5.15790043,1.486971422857143,1
2020-04-27,cl1s,1,3.89126136,1.5106733585714285,1
2020-04-28,cl1s,1,3.75728992,1.4839461014285713,1
2020-04-29,cl1s,1,4.585477,1.5001344235714282,1
2020-04-30,cl1s,1,5.73641346,1.4303670271428568,1
2020-05-01,cl1s,1,6.02262517,1.405540884285714,1
2020-05-04,cl1s,1,6.2083583,1.389622587142857,1
2020-05-05,cl1s,1,7.47804218,1.4523721985714284,1
2020-05-06,cl1s,1,7.30448827,1.4834727114285715,1
2020-05-07,cl1s,1,7.17051683,1.5180530014285714,1
2020-05-08,cl1s,1,7.53284867,1.4504148235714287,1
2020-05-11,cl1s,1,7.35016035,1.1422370149999999,1
2020-05-12,cl1s,1,7.84950844,1.0589398378571429,1
2020-05-13,cl1s,1,7.70031297,0.988256855,1
2020-05-14,cl1s,1,8.35999711,0.9956262292857144,1
2020-05-19,cl1s,1,9.58341132,0.8732646335714287,1
2020-05-27,cl1s,1,9.83828928,0.7186393814285713,1
2020-05-28,cl1s,1,10.10816006,0.7017488921428571,1
2020-06-04,cl1s,1,11.21762883,0.7048767785714285,1
2020-06-05,cl1s,1,11.85932158,0.7121590057142857,-1
2020-06-08,cl1s,1,11.45151684,0.6885988585714282,-1
2020-06-09,cl1s,1,11.67640916,0.6939534378571428,-1
2020-06-10,cl1s,1,11.8743144,0.6930967050000001,-1
2020-06-11,cl1s,1,10.89678246,0.7528538071428572,1
2020-06-12,cl1s,1,10.87279394,0.7363617035714286,1
2020-06-22,cl1s,1,12.12783389,0.6907403042857145,-1
2020-06-24,cl1s,1,11.31792208,0.7233897978571431,1
2020-06-26,cl1s,1,11.46084769,0.6928490521428573,1
